Timestamp,Username,VideoID,Comment,Date
2025-10-28T08:06:34Z,@lattehour,Uo1a7BjjXhM,man embarked me  on a great journey,2025-10-28T08:06:34Z
2025-10-26T08:01:23Z,@sumanpranata,Uo1a7BjjXhM,AE501_GSAP,2025-10-26T08:01:23Z
2025-10-08T03:01:56Z,@Bone_7_,Uo1a7BjjXhM,AE501_TB Looking forward to a great quarter!,2025-10-08T03:01:56Z
2025-10-08T01:40:54Z,@K_N_06,Uo1a7BjjXhM,AE501_KN,2025-10-08T01:40:54Z
2025-10-07T02:54:47Z,@yaredshella,Uo1a7BjjXhM,"AE501_YS, Thanks !",2025-10-07T02:54:47Z
2025-10-06T04:54:01Z,@geflri,Uo1a7BjjXhM,AE501_GF Great roadmap!,2025-10-06T04:54:01Z
2025-10-06T04:10:09Z,@queenstirl1ng,Uo1a7BjjXhM,Thanks! AE501_BH,2025-10-06T04:10:09Z
2025-10-04T20:25:15Z,@ravidesai9108,Uo1a7BjjXhM,AE501_RD Thanks for a great start!,2025-10-04T20:25:15Z
2025-10-04T20:06:59Z,@mikes2795,Uo1a7BjjXhM,AE501_MD,2025-10-04T20:06:59Z
2025-10-03T02:24:59Z,@kunyangli,Uo1a7BjjXhM,AE501_KL completed,2025-10-03T02:24:59Z
2025-10-03T01:29:58Z,@guillermoroque3408,Uo1a7BjjXhM,AE501_GR Complete,2025-10-03T01:29:58Z
2025-10-02T23:39:55Z,@oralynnreeve4157,Uo1a7BjjXhM,Happy to be here!  AE501_OS,2025-10-02T23:39:55Z
2025-10-02T16:52:31Z,@milaesper6956,Uo1a7BjjXhM,AE501_ME Done,2025-10-02T16:52:31Z
2025-10-02T03:40:32Z,@bbyrnes2320,Uo1a7BjjXhM,AE501_BB Finished the video! Thank you!,2025-10-02T03:40:32Z
2025-10-02T02:56:23Z,@LinneaFinkle,Uo1a7BjjXhM,AE501_LF Done!,2025-10-02T02:56:23Z
2025-10-01T01:34:58Z,@AngelinaMartinez-j2q,Uo1a7BjjXhM,"Thanks, AE501_AM",2025-10-01T01:34:58Z
2025-10-01T01:13:32Z,@MichaelS-J117,Uo1a7BjjXhM,AE501_MS-J Looking forward to this semester :),2025-10-01T01:13:32Z
2025-10-01T00:13:53Z,@AlexKyleBlakley,Uo1a7BjjXhM,AE501_AB Great video. Looking forward to the class and to refreshing my engineering math skills!,2025-10-01T00:13:53Z
2025-09-30T15:58:24Z,@KarinaAragon-Madrigal,Uo1a7BjjXhM,Looking forward to the quarter! Good to know that their is a refresher for the content from my early undergrad! AE501_KA,2025-09-30T16:54:28Z
2025-09-30T14:59:31Z,@Super_K_Plus,Uo1a7BjjXhM,AE501_WW🎉,2025-09-30T14:59:31Z
